,symbol,probes,importance,enhancer,['MYCNA'],['MYCNA']_ratio,['MYCNA']_imp,['MYCNA']_imp_ratio,['MYCNA']_enha,['MYCNA']_enha_ratio,['4'],['4']_ratio,['4']_imp,['4']_imp_ratio,['4']_enha,['4']_enha_ratio,['4s'],['4s']_ratio,['4s']_imp,['4s']_imp_ratio,['4s']_enha,['4s']_enha_ratio,['other'],['other']_ratio,['other']_imp,['other']_imp_ratio,['other']_enha,['other']_enha_ratio,"['4', 'MYCNA']","['4', 'MYCNA']_ratio","['4', 'MYCNA']_imp","['4', 'MYCNA']_imp_ratio","['4', 'MYCNA']_enha","['4', 'MYCNA']_enha_ratio"
NM_021602,CD79B,131.0,50.0,10.0,8.0,0.061068702290076333,2.0,0.04,0.0,0.0,28.0,0.21374045801526717,18.0,0.36,3.0,0.3,27.0,0.20610687022900764,19.0,0.38,5.0,0.5,5.0,0.03816793893129771,0.0,0.0,0.0,0.0,18.0,0.13740458015267176,14.0,0.28,2.0,0.2
NM_000626,CD79B,131.0,50.0,10.0,8.0,0.061068702290076333,2.0,0.04,0.0,0.0,28.0,0.21374045801526717,18.0,0.36,3.0,0.3,27.0,0.20610687022900764,19.0,0.38,5.0,0.5,5.0,0.03816793893129771,0.0,0.0,0.0,0.0,18.0,0.13740458015267176,14.0,0.28,2.0,0.2
NR_038941,LOC100128531,37.0,14.0,2.0,1.0,0.02702702702702703,1.0,0.07142857142857142,0.0,0.0,12.0,0.32432432432432434,7.0,0.5,1.0,0.5,4.0,0.10810810810810811,4.0,0.2857142857142857,1.0,0.5,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,11.0,0.2972972972972973,6.0,0.42857142857142855,1.0,0.5
NM_015848,KRT76,77.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.2597402597402597,9.0,0.3103448275862069,2.0,1.0,46.0,0.5974025974025974,25.0,0.8620689655172413,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_005623,CCL8,48.0,18.0,5.0,3.0,0.0625,0.0,0.0,0.0,0.0,16.0,0.3333333333333333,11.0,0.6111111111111112,2.0,0.4,17.0,0.3541666666666667,11.0,0.6111111111111112,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08333333333333333,2.0,0.1111111111111111,2.0,0.4
NM_152512,ENTHD1,16.0,6.0,0.0,1.0,0.0625,1.0,0.16666666666666666,0.0,0.0,8.0,0.5,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR_110201,LOC101926966,27.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_198151,HEPACAM2,27.0,10.0,0.0,2.0,0.07407407407407407,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_001288804,HEPACAM2,27.0,10.0,0.0,2.0,0.07407407407407407,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_001288810,HEPACAM2,27.0,10.0,0.0,2.0,0.07407407407407407,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_001039372,HEPACAM2,27.0,10.0,0.0,2.0,0.07407407407407407,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_057088,KRT3,73.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.273972602739726,10.0,0.37037037037037035,3.0,1.0,42.0,0.5753424657534246,23.0,0.8518518518518519,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0136986301369863,0.0,0.0,0.0,0.0
NR_027293,BMS1P20,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3684210526315789,6.0,0.8571428571428571,0.0,0.0,9.0,0.47368421052631576,5.0,0.7142857142857143,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.14285714285714285,0.0,0.0
NM_001337,CX3CR1,47.0,17.0,2.0,3.0,0.06382978723404255,2.0,0.11764705882352941,0.0,0.0,11.0,0.23404255319148937,7.0,0.4117647058823529,2.0,1.0,14.0,0.2978723404255319,9.0,0.5294117647058824,2.0,1.0,2.0,0.0425531914893617,0.0,0.0,0.0,0.0,4.0,0.0851063829787234,4.0,0.23529411764705882,0.0,0.0
NM_004810,GRAP2,25.0,9.0,0.0,1.0,0.04,1.0,0.1111111111111111,0.0,0.0,8.0,0.32,5.0,0.5555555555555556,0.0,0.0,4.0,0.16,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0
NM_006273,CCL7,50.0,18.0,5.0,2.0,0.04,0.0,0.0,0.0,0.0,16.0,0.32,11.0,0.6111111111111112,2.0,0.4,17.0,0.34,11.0,0.6111111111111112,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08,2.0,0.1111111111111111,2.0,0.4
NM_020186,SDHAF3,75.0,27.0,4.0,6.0,0.08,3.0,0.1111111111111111,2.0,0.5,7.0,0.09333333333333334,2.0,0.07407407407407407,0.0,0.0,3.0,0.04,1.0,0.037037037037037035,1.0,0.25,2.0,0.02666666666666667,0.0,0.0,0.0,0.0,2.0,0.02666666666666667,0.0,0.0,0.0,0.0
NM_001300814,KRT78,89.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.2247191011235955,10.0,0.3125,3.0,0.5,53.0,0.5955056179775281,27.0,0.84375,4.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02247191011235955,0.0,0.0,0.0,0.0
NM_004540,NCAM2,14.0,5.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_001171172,CX3CR1,48.0,17.0,2.0,3.0,0.0625,2.0,0.11764705882352941,0.0,0.0,11.0,0.22916666666666666,7.0,0.4117647058823529,2.0,1.0,15.0,0.3125,9.0,0.5294117647058824,2.0,1.0,2.0,0.041666666666666664,0.0,0.0,0.0,0.0,4.0,0.08333333333333333,4.0,0.23529411764705882,0.0,0.0
NR_027102,LINC00606,34.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.058823529411764705,1.0,0.08333333333333333,1.0,1.0,12.0,0.35294117647058826,8.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.3235294117647059,10.0,0.8333333333333334,0.0,0.0
